address,classification,details,fone,link,name,position,link_problem,has_instagram,has_facebook,facebook_link,instagram_link
"Av. Cel. Marcos Konder, N. 1207 - Sala 62",,Escritório de advocacia, (47) 99917-4031 · ,http://www.mayeradvogados.adv.br/,Mayer Albanez & Advogados Associados,62,,True,True,,https://www.instagram.com/mayeralbanez/
"Av. Cel. Marcos Konder, 805 - Sala 806","5,0",Escritório de advocacia, (47) 2125-0133 · ,http://www.walicoskiadv.com.br/,Walicoski Carvalho Advogados Associados,63,,False,True,http://www.facebook.com/walicoskicarvalhoadv,
"R. Silva, 113","5,0",Escritório de advocacia, (47) 3248-5055 · ,https://spronello-advocacia.business.site/,SPRONELLO ADVOCACIA,65,,False,False,,
"R. Dr. José Bonifácio Malburg, nº 315 - Sala 01","5,0",Escritório de advocacia, (47) 3045-3269 · ,,Ricardo Matiello Advocacia Imobiliária e Ambiental,66,,,,,
"R. Anita Garibaldi, 288",,Escritório de advocacia, (47) 3083-6996 · ,https://pereirasilvaadvogados.business.site/,Pereira Silva & Advogados Associados,86,,False,False,,
"Av. Cel. Marcos Konder, 805","5,0",Escritório de advocacia, (47) 2125-2772 · ,http://www.vivanadvocacia.com.br/,Vivan Advocacia,87,,True,True,https://www.facebook.com/vivanadvocacia,https://www.instagram.com/cristinavivanadv/
"R. Umbelino Damásio de Brito, 189","5,0",Escritório de advocacia, (47) 3248-0432 · ,,"DUARTE, AZEREDO E DEGENHARDT ADVOGADOS",88,,,,,
"R. 3300, 360 - sala 705","3,8",Advogado especialista em divórcios, (47) 99642-0708 · ,/aclk?sa=l&ai=DChcSEwjxnJLyudjrAhWMgJEKHbNWCUkYABAAGgJjZQ&sig=AOD64_11sGYFU8o0cYpniyoV4IUoNnINig&adurl&q&ctype=99,Advocacia Lívia Van Well,89,True,,,,
"R. Japão, 444 - 102","5,0",Advogado, (47) 99186-3424 · ,/aclk?sa=l&ai=DChcSEwjxnJLyudjrAhWMgJEKHbNWCUkYABABGgJjZQ&sig=AOD64_1Fr6KmP0yzzpL9JfvfTqvQZMAQAA&adurl&q&ctype=99,Belotto Advocacia - CDL Timbó - Sala 102,90,True,,,,
,"4,0",Escritório de advocacia, (47) 3045-2280 · ,https://speresadv.negocio.site/?utm_source=gmb&utm_medium=referral,Shayena Peres Advogada,92,,False,False,,
"R. Dr. Pedro Rangel, 329","5,0",Escritório de advocacia, (47) 4105-0201 · ,,Eskelsen & Jesus Advocacia,93,,,,,
"Av. Osvaldo Reis, 3281","4,1",Escritório de advocacia, (41) 3091-3400 · ,https://www.arauz.com.br/,Arauz & Advogados Associados,94,,True,True,,https://www.instagram.com/arauzadv/?hl=pt-br
"Av. Marcos Konder, 1207 - Sala 79 - Enbraed","4,6",Empresa de advocacia, (47) 3045-7585 · ,http://eajp.com.br/,Escritório de Advocacia Jader Pazinato,95,,False,False,,
"R. Lauro Muller, 500","5,0",Escritório de advocacia, (47) 3046-0300 · ,http://www.cc.adv.br/,CACHOEIRA DE OLIVEIRA ADVOGADOS ASSOCIADOS,96,,False,False,,
"Av. Cel. Marcos Konder, 1207, 88301-200 (2º andar - sala22/23","5,0",Escritório de advocacia, (47) 3348-4750 · ,http://www.anfadvogados.com.br/,Agacci Neto & Fraga Advogados,97,,True,True,https://www.facebook.com/anfadvogados,https://www.instagram.com/anf_advogados/
"Edifício Empresarial Marcos Konder - Av. Cel. Marcos Konder, nº 805 - Conjunto 406","4,0",Escritório de advocacia, (47) 99101-6654 · ,https://www.boeng.adv.br/,Boeng Advogados Associados,98,,False,True,https://www.facebook.com/WixPortugues,
