team_back,team_home,score,datetime
                Chile,                Colombia,                    0 - 0,2020-02-07 09:58:00
                Chile,                Brazil,                    1 - 1,2020-02-07 10:01:00
                Republic of Ireland,                Greece,                    1 - 0,2020-02-07 10:04:00
                Uruguay,                Chile,                    1 - 0,2020-02-07 10:07:00
                Republic of Ireland,                Germany,                    3 - 0,2020-02-07 10:10:00
                France,                Chile,                    1 - 1,2020-02-07 10:13:00
                Colombia,                Croatia,                    1 - 2,2020-02-07 10:16:00
                Algeria,                Switzerland,                    1 - 0,2020-02-07 10:19:00
                Australia,                Ecuador,                    2 - 0,2020-02-07 10:22:00
                Chile,                Spain,                    1 - 1,2020-02-07 10:25:00
                Nigeria,                Ivory Coast,                    1 - 1,2020-02-07 10:28:00
                Portugal,                France,                    2 - 1,2020-02-07 10:31:00
                Switzerland,                Mexico,                    0 - 0,2020-02-07 10:34:00
                Russia,                Honduras,                    0 - 1,2020-02-07 10:37:00
                Spain,                Portugal,                    2 - 2,2020-02-07 10:40:00
                Portugal,                Costa Rica,                    2 - 2,2020-02-07 10:43:00
                Greece,                England,                    2 - 0,2020-02-07 10:46:00
                Ivory Coast,                Ecuador,                    0 - 1,2020-02-07 10:49:00
                Brazil,                Spain,                    0 - 2,2020-02-07 10:52:00
                Belgium,                Japan,                    2 - 2,2020-02-07 10:55:00
                Sweden,                France,                    2 - 1,2020-02-07 10:58:00
                Portugal,                Germany,                    3 - 1,2020-02-07 11:01:00
                Croatia,                Holland,                    1 - 0,2020-02-07 11:04:00
                Holland,                Brazil,                    1 - 0,2020-02-07 11:07:00
                Spain,                Nigeria,                    1 - 0,2020-02-07 11:10:00
                Ukraine,                Holland,                    0 - 1,2020-02-07 11:13:00
                Mexico,                Greece,                    3 - 1,2020-02-07 11:16:00
                Czech Republic,                Denmark,                    0 - 2,2020-02-07 11:19:00
                Germany,                Spain,                    0 - 1,2020-02-07 11:22:00
                Germany,                Russia,                    0 - 1,2020-02-07 11:25:00
                Holland,                Portugal,                    1 - 2,2020-02-07 11:28:00
                France,                USA,                    2 - 2,2020-02-07 11:31:00
                Poland,                Spain,                    1 - 0,2020-02-07 11:34:00
                Russia,                Iran,                    1 - 2,2020-02-07 11:37:00
                Czech Republic,                Italy,                    3 - 1,2020-02-07 11:40:00
                Argentina,                Italy,                    0 - 3,2020-02-07 11:43:00
                Italy,                Poland,                    2 - 2,2020-02-07 11:46:00
                Costa Rica,                Portugal,                    0 - 1,2020-02-07 11:49:00
                Chile,                Ghana,                    0 - 1,2020-02-07 11:52:00
                Iran,                Brazil,                    1 - 0,2020-02-07 11:55:00
                Greece,                Italy,                    2 - 2,2020-02-07 11:58:00
                Brazil,                Ecuador,                    2 - 1,2020-02-07 12:01:00
                Honduras,                Croatia,                    1 - 0,2020-02-07 12:04:00
                Czech Republic,                Germany,                    3 - 0,2020-02-07 12:07:00
                Holland,                Algeria,                    1 - 1,2020-02-07 12:10:00
                Honduras,                Argentina,                    3 - 1,2020-02-07 12:13:00
                Croatia,                Colombia,                    0 - 1,2020-02-07 12:16:00
                Germany,                Chile,                    1 - 1,2020-02-07 12:19:00
                Ecuador,                Honduras,                    2 - 0,2020-02-07 12:22:00
                England,                Holland,                    1 - 0,2020-02-07 12:25:00
                Czech Republic,                England,                    1 - 1,2020-02-07 12:28:00
                USA,                Belgium,                    1 - 2,2020-02-07 12:31:00
                Japan,                Australia,                    3 - 1,2020-02-07 12:34:00
                Germany,                Costa Rica,                    2 - 1,2020-02-07 12:37:00
                Mexico,                Colombia,                    1 - 2,2020-02-07 12:40:00
                Croatia,                Russia,                    3 - 1,2020-02-07 12:43:00
                Croatia,                Sweden,                    2 - 0,2020-02-07 12:46:00
                Nigeria,                Argentina,                    0 - 0,2020-02-07 12:49:00
                Sweden,                Portugal,                    3 - 1,2020-02-07 12:52:00
                Denmark,                Greece,                    2 - 0,2020-02-07 12:55:00
                Spain,                Russia,                    1 - 2,2020-02-07 12:58:00
                Republic of Ireland,                England,                    0 - 1,2020-02-07 13:01:00
                France,                Croatia,                    3 - 1,2020-02-07 13:04:00
                Argentina,                Greece,                    1 - 1,2020-02-07 13:07:00
                Nigeria,                Spain,                    3 - 1,2020-02-07 13:10:00
