address,details,fone,link,name
"R. Eduardo Sprada, 3167",Imobiliária,(41) 3339-2919,http://premiereimoveis.com.br/,Premiere Imóveis
"R. Mateus Leme, 1970",Imobiliária,(41) 3090-2200,http://www.padroneimoveis.com.br/,Padrone Imóveis
"R. Mateus Leme, 5372",Imobiliária de aluguel de condomínios,(41) 3078-6095,http://www.imobiliariajuveve.com.br/,Juveve
"Rua Francisco Lachowski, 333",Imobiliária,(41) 3077-8116,http://www.invebras.com.br/,Invebras Imóveis e Administradora de Imóveis
"R. Alferes Poli, 931",Imobiliária,(41) 3321-3600,http://www.regionalimoveis.com.br/,Regional Imóveis
"R. Francisco Rocha, 605",Imobiliária,(41) 3026-1626,http://www.imoveisexclusivos.com.br/,Imóveis Exclusivos
Curitiba,Imobiliária,(41) 3089-7338,https://www.diegolopesimobiliaria.com.br/,DIEGO LOPES IMOBILIÁRIA
"R. Samuel Cezar, 1245",Imobiliária,(41) 3333-2233,http://www.imobiliariaandrade.com/,Imobiliária Andrade
"R. Conselheiro Laurindo, 478",Imobiliária,(41) 3542-1322,http://www.apolar.com.br/,Apolar Imóveis Locação
"Av. Silva Jardim, 3928",Imobiliária,(41) 3077-8727,http://adiferencial.com/,Diferencial Imóveis
"R. Ourizona, 2435",Imobiliária,(41) 3015-7770,http://www.imobiliariarc.com.br/financiamento-e-bancos,RC Imobiliária
"R. São José dos Pinhais, 306",Imobiliária,(41) 3349-1222,http://www.imoveisma.com/,M.A Imóveis
"Rua Tenente Francisco Ferreira de Souza, 3870",Imobiliária,(41) 2105-0405,http://www.marechalimoveis.com.br/,Marechal Imóveis
"Rua Engenheiros Rebouças, 2387",Imobiliária,(41) 3332-5849,http://www.imobiliariaguth.com.br/,Imobiliaria Guth Ltda
Curitiba,Imobiliária,(41) 3037-4444,http://www.wilferimoveis.com.br/,WILFER IMÓVEIS
